Algorithm;Condition;Time;Score
AlphaBetaAgent;Win;26;1078
AlphaBetaAgent;Lose;19;58
AlphaBetaAgent;Win;20;1101
AlphaBetaAgent;Lose;21;73
AlphaBetaAgent;Lose;30;66
AlphaBetaAgent;Win;17;1117
AlphaBetaAgent;Lose;15;80
AlphaBetaAgent;Lose;25;67
AlphaBetaAgent;Lose;43;-18
AlphaBetaAgent;Lose;16;-61
AlphaBetaAgent;Lose;6;-50
AlphaBetaAgent;Lose;9;-59
AlphaBetaAgent;Lose;5;-95
AlphaBetaAgent;Win;32;1100
AlphaBetaAgent;Lose;19;109
AlphaBetaAgent;Lose;7;-181
AlphaBetaAgent;Lose;4;-192
AlphaBetaAgent;Lose;6;45
AlphaBetaAgent;Lose;56;68
AlphaBetaAgent;Lose;4;34
AlphaBetaAgent;Lose;17;90
AlphaBetaAgent;Lose;4;-115
AlphaBetaAgent;Lose;39;91
AlphaBetaAgent;Lose;7;-179
AlphaBetaAgent;Lose;7;-81
AlphaBetaAgent;Lose;22;62
AlphaBetaAgent;Win;13;1146
AlphaBetaAgent;Lose;5;-130
AlphaBetaAgent;Lose;14;121
AlphaBetaAgent;Lose;4;-146
AlphaBetaAgent;Win;88;1111
AlphaBetaAgent;Win;9;1125
AlphaBetaAgent;Lose;5;-138
AlphaBetaAgent;Lose;13;80
AlphaBetaAgent;Win;26;971
AlphaBetaAgent;Win;16;1074
AlphaBetaAgent;Win;195;1116
AlphaBetaAgent;Lose;7;-35
AlphaBetaAgent;Lose;12;74
AlphaBetaAgent;Lose;11;67
AlphaBetaAgent;Lose;5;-138
AlphaBetaAgent;Lose;5;29
AlphaBetaAgent;Lose;12;94
AlphaBetaAgent;Lose;13;68
AlphaBetaAgent;Lose;4;-60
AlphaBetaAgent;Lose;12;103
AlphaBetaAgent;Lose;10;78
AlphaBetaAgent;Lose;6;-27
AlphaBetaAgent;Lose;170;96
AlphaBetaAgent;Lose;41;-12
